****Estoy modificando un archivo de texto, en este caso, a trav√©s de nano desde la consola de ubuntu

dir	descrip	tam dir
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\INF UAIR CHRISTIAN	" 4 archivos    347,865,573 bytes"	0.324
 Directorio de D:\Financiera\2010\CNBV\ult entrega	" 5 archivos    330,536,899 bytes"	0.308
 Directorio de D:\B\Consumo\C2013\Impacto	" 5 archivos    324,908,116 bytes"	0.303
 Directorio de D:\Financiera\2010\CNBV	"23 archivos    276,605,267 bytes"	0.258
 Directorio de D:\TDC2014\GER	" 4 archivos    272,714,705 bytes"	0.254
 Directorio de D:\GDrive\vimeo	" 1 archivos    256,166,883 bytes"	0.239
 Directorio de D:\Personal hga\libros\Probabilidad	" 6 archivos    229,908,212 bytes"	0.214
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Procesados	"61 archivos    216,069,112 bytes"	0.201
 Directorio de D:\TDC2014\Calibraciones BHS TSM\Resultados\TDC Finanzia	"11 archivos    209,963,238 bytes"	0.196
 Directorio de D:\Calibraciones TDC 2013\impacto	" 8 archivos    208,382,460 bytes"	0.194
 Directorio de D:\GDrive\libros	"33 archivos    203,954,950 bytes"	0.190
 Directorio de D:\Recalibraci¢nCNBV TDC	"10 archivos    199,940,768 bytes"	0.186
 Directorio de D:\Personal hga\libros\Estad°stica	"11 archivos    197,667,518 bytes"	0.184
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago	"21 archivos    195,108,864 bytes"	0.182
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\TOTALEROS\bases 2005	"14 archivos    194,841,941 bytes"	0.181
 Directorio de D:\Financiera\BasesAbr09	"37 archivos    188,016,893 bytes"	0.175
 Directorio de D:\Personal hga\libros	" 3 archivos    180,236,214 bytes"	0.168
 Directorio de D:\PRUEBA\FINANZIA	" 9 archivos    179,081,852 bytes"	0.167
 Directorio de D:\B\testfinanzia	" 9 archivos    178,914,653 bytes"	0.167
 Directorio de D:\TDC2014\Calibraciones BHS TSA\resultados\Exceles\TDCFinanzia	" 9 archivos    178,911,952 bytes"	0.167
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Semanal\Cortes Semanales 2010	"13 archivos    176,071,168 bytes"	0.164
 Directorio de D:\Negocio2010\2010\conta	" 4 archivos    168,971,137 bytes"	0.157
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n	"22 archivos    167,682,750 bytes"	0.156
 Directorio de D:\GDrive\Nueva carpeta\Kings of Leon\Holy Roller Novocaine	" 9 archivos    167,278,842 bytes"	0.156
 Directorio de D:\Personal hga	"63 archivos    166,876,514 bytes"	0.155
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\REPLICA	" 4 archivos    154,889,530 bytes"	0.144
 Directorio de D:\	"30 archivos    153,077,219 bytes"	0.143
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\Revisi¢nEjes	" 9 archivos    151,832,479 bytes"	0.141
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\BASES AXEL	"23 archivos    147,339,875 bytes"	0.137
 Directorio de D:\Contingencia 2011\Info Finanzas	" 3 archivos    144,593,695 bytes"	0.135
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Semanal\Cortes Semanales 2011	" 8 archivos    142,377,472 bytes"	0.133
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Data Science	" 9 archivos    141,067,869 bytes"	0.131
 Directorio de D:\TDC2014\Calibraciones BHS TSM\Resultados\TDC Banco	" 8 archivos    140,129,914 bytes"	0.131
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Econom°a	"10 archivos    140,008,822 bytes"	0.130
 Directorio de D:\B\Consumo\C2013\Quitas\Finanzia	"14 archivos    133,330,691 bytes"	0.124
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Chino	" 7 archivos    132,428,730 bytes"	0.123
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Semanal\Cortes Semanales 2009	"12 archivos    128,846,848 bytes"	0.120
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\manualidades_gi\Man1_encontrados	" 5 archivos    125,584,782 bytes"	0.117
 Directorio de D:\B\Contingencia_Hipotecario\Bases\Castigos	"12 archivos    125,434,549 bytes"	0.117
 Directorio de D:\Contingencia_Hipotecario\Bases\Castigos	"12 archivos    125,434,549 bytes"	0.117
 Directorio de D:\ScorePyME	" 7 archivos    124,112,953 bytes"	0.116
 Directorio de D:\Bancarias2012\Quitas	"13 archivos    122,586,273 bytes"	0.114
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\RESULTADOS OK\NECESITO	" 5 archivos    122,577,163 bytes"	0.114
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\CODIGOS PARA BE	" 5 archivos    122,006,006 bytes"	0.114
 Directorio de D:\PRUEBA\BANCO	" 6 archivos    119,435,552 bytes"	0.111
 Directorio de D:\B\testbanco	" 6 archivos    119,342,913 bytes"	0.111
 Directorio de D:\TDC2014\Calibraciones BHS TSA\resultados\Exceles\TDCBanco	" 6 archivos    119,320,704 bytes"	0.111
 Directorio de D:\Financiera\CARTERA SEMANAL\Bases Cartera Concentrada	"16 archivos    114,308,608 bytes"	0.106
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Econometr°a	"19 archivos    114,169,344 bytes"	0.106
 Directorio de D:\Negocio2010\2010	" 2 archivos    113,269,001 bytes"	0.105
 Directorio de D:\Venta de Cartera	"16 archivos    112,350,981 bytes"	0.105
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago	"15 archivos    107,489,280 bytes"	0.100
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\Mylo Xyloto	"18 archivos    106,108,490 bytes"	0.099
 Directorio de D:\Negocio2010\2010\R10	" 3 archivos    104,723,456 bytes"	0.098
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\ENTREGA_AGO	"12 archivos    103,956,898 bytes"	0.097
 Directorio de D:\Financiera\CARTERA SEMANAL\2010	"12 archivos    103,897,088 bytes"	0.097
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\Ghost Stories	"13 archivos    102,445,618 bytes"	0.095
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\manualidades_gi\Man1_no_encontrados	" 5 archivos    102,006,747 bytes"	0.095
 Directorio de D:\Financiera\REPORTE ALTAS	"16 archivos     99,378,688 bytes"	0.093
 Directorio de D:\RAR3\Impactos	" 3 archivos     98,671,665 bytes"	0.092
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc1 sin fnz borrar	" 3 archivos     97,242,624 bytes"	0.091
 Directorio de D:\Personal hga\m£sica\The King Of Limbs	" 9 archivos     96,533,337 bytes"	0.090
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\impactos sev 2005-06	" 6 archivos     95,373,824 bytes"	0.089
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV_PREFINAL	"31 archivos     95,343,304 bytes"	0.089
 Directorio de D:\Programas\Scientific	" 1 archivos     92,396,799 bytes"	0.086
 Directorio de D:\Calibraciones TDC 2013	"14 archivos     90,954,179 bytes"	0.085
 Directorio de D:\Venta de Cartera TDC Consumo Ago15\Valuaci¢n	" 4 archivos     90,729,459 bytes"	0.084
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc2_media_bhs_orgcorrec	" 5 archivos     90,646,244 bytes"	0.084
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\Coldplay - X&Y	"18 archivos     90,368,967 bytes"	0.084
 Directorio de D:\GDrive\Revolver	"17 archivos     90,184,142 bytes"	0.084
 Directorio de D:\Temporal\manualidades	" 9 archivos     86,336,739 bytes"	0.080
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS	"17 archivos     85,514,909 bytes"	0.080
 Directorio de D:\Venta de Cartera TDC Consumo Ago15\Valuaci¢n\Cierre Ago15	" 6 archivos     84,794,086 bytes"	0.079
 Directorio de D:\GrupoInnovaci¢n	"35 archivos     84,601,603 bytes"	0.079
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\R	"19 archivos     83,870,105 bytes"	0.078
 Directorio de D:\Personal hga\libros\Credit Scoring	" 4 archivos     83,219,621 bytes"	0.078
 Directorio de D:\Financiera\2010\Enviados	"89 archivos     82,740,993 bytes"	0.077
 Directorio de D:\Negocio2010\2010\Info	" 9 archivos     80,507,686 bytes"	0.075
 Directorio de D:\Contingencia 2011\Info Finanzas\FINANZIA	"40 archivos     78,666,964 bytes"	0.073
 Directorio de D:\respaldo maquina on M825016\2007\BASES_RAR	"12 archivos     78,233,935 bytes"	0.073
 Directorio de D:\Financiera\2011\Modelo Interno	"21 archivos     77,802,606 bytes"	0.072
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc	" 6 archivos     77,465,449 bytes"	0.072
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc2_media_bhs_origborrar	" 2 archivos     76,672,000 bytes"	0.071
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\consumo\esc3 con k factores	" 7 archivos     76,007,541 bytes"	0.071
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\ColdPlay---Rush_Of_Blood_To_The_Head	"17 archivos     75,521,956 bytes"	0.070
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\impactos sev 04-05-06	" 5 archivos     74,569,216 bytes"	0.069
 Directorio de D:\Personal hga\libros\An†lisis Estad°stico Multivariado	" 5 archivos     73,798,300 bytes"	0.069
 Directorio de D:\B\Consumo\C2013\LGD	"21 archivos     72,404,126 bytes"	0.067
 Directorio de D:\B\Consumo\Param2012	"15 archivos     71,819,457 bytes"	0.067
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc\MAQUETA	" 7 archivos     69,316,096 bytes"	0.065
 Directorio de D:\Recalibraci¢nCNBV TDC\GENERALES	"64 archivos     69,274,770 bytes"	0.065
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07	" 2 archivos     68,305,492 bytes"	0.064
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable\final	" 8 archivos     67,000,832 bytes"	0.062
 Directorio de D:\TDC2014\Calibraciones BHS TSA\Automatizaci¢nReportes	" 4 archivos     64,911,088 bytes"	0.060
 Directorio de D:\Personal hga\libros\Estad°stica Bayesiana	"19 archivos     63,301,228 bytes"	0.059
 Directorio de D:\Calibraciones TDC 2013\BHS	" 6 archivos     63,077,397 bytes"	0.059
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\ACUMULADA 2006\bases Erre	"21 archivos     62,715,378 bytes"	0.058
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\Copia de CRISTIAN	" 1 archivos     62,574,080 bytes"	0.058
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\CRISTIAN	" 1 archivos     62,574,080 bytes"	0.058
 Directorio de D:\Financiera\BasesMar09\Renato\Edo de Cuenta Cierre abr 09	" 1 archivos     62,553,600 bytes"	0.058
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\Revisi¢nEjes\Anterior	" 3 archivos     62,414,960 bytes"	0.058
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc\SEV AGO07	" 6 archivos     62,404,319 bytes"	0.058
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\Coldplay-Viva_La_Vida-2008	"14 archivos     62,199,363 bytes"	0.058
 Directorio de D:\PD's por score	"16 archivos     62,072,141 bytes"	0.058
 Directorio de D:\Personal hga\libros\Valuaci¢n de Opciones	" 4 archivos     61,522,560 bytes"	0.057
 Directorio de D:\pld2013	"14 archivos     60,462,353 bytes"	0.056
 Directorio de D:\INFO_2007	" 1 archivos     60,453,478 bytes"	0.056
 Directorio de D:\TDC_RARCIERRE2011\AC	"12 archivos     59,949,119 bytes"	0.056
 Directorio de D:\Temporal	"49 archivos     58,176,690 bytes"	0.054
 Directorio de D:\Financiera\BasesMar09\Renato\Entrada 2009	" 7 archivos     58,162,176 bytes"	0.054
 Directorio de D:\GDrive\Nueva carpeta\CafÇ Tacuva\Cafe Tacuba - Re	"25 archivos     57,533,065 bytes"	0.054
 Directorio de D:\Venta Carter TDC Consumo Abr15\Bases Valuaci¢n	" 5 archivos     56,400,234 bytes"	0.053
 Directorio de D:\Financiera\DEMOGRAFIA SCORE	" 7 archivos     56,342,528 bytes"	0.052
 Directorio de D:\Financiera_Ayudamos\Info_Financiera	" 8 archivos     55,775,744 bytes"	0.052
 Directorio de D:\pld	"17 archivos     54,345,579 bytes"	0.051
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\BASES ORIGEN	"16 archivos     53,709,606 bytes"	0.050
 Directorio de D:\B\Reconstruccion Hipotecaria Nov\ciclos finanzas	"19 archivos     53,633,999 bytes"	0.050
 Directorio de D:\Reconstruccion Hipotecaria Nov\ciclos finanzas	"19 archivos     53,633,999 bytes"	0.050
 Directorio de D:\Venta Carter TDC Consumo Abr15\Bases Valuaci¢n\May15	" 5 archivos     53,530,735 bytes"	0.050
 Directorio de D:\GDrive\crm	" 9 archivos     53,177,708 bytes"	0.050
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Arch_docs	" 8 archivos     52,369,408 bytes"	0.049
 Directorio de D:\respaldo maquina on M825016\2007\ANALISIS_CONTABLE	"17 archivos     52,319,232 bytes"	0.049
 Directorio de D:\GDrive	"53 archivos     51,520,773 bytes"	0.048
 Directorio de D:\Personal hga\m£sica\In Rainbows	"11 archivos     51,211,873 bytes"	0.048
 Directorio de D:\Financiera\BasesMar09\Renato	" 3 archivos     51,096,576 bytes"	0.048
 Directorio de D:\Financiera\CARTERA SEMANAL\2011	" 4 archivos     50,976,768 bytes"	0.047
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\ENTREGA_JUN	" 7 archivos     50,460,160 bytes"	0.047
 Directorio de D:\respaldo maquina on M825016\2007\VENTA DE CARTERA	"14 archivos     50,064,801 bytes"	0.047
 Directorio de D:\respaldo maquina on M825016\REEST_MANUEL	"22 archivos     49,935,059 bytes"	0.047
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07	" 2 archivos     48,863,744 bytes"	0.046
 Directorio de D:\Financiera\2010	"41 archivos     48,707,932 bytes"	0.045
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\EJERCICIO SIN FILTRO	" 6 archivos     48,125,440 bytes"	0.045
 Directorio de D:\B\Consumo	"14 archivos     47,950,055 bytes"	0.045
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\resumen global	" 1 archivos     45,401,600 bytes"	0.042
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\ENTREGA_AGO\impacto_con_pesos\PDÔS X BEHAVIOR	" 9 archivos     44,894,720 bytes"	0.042
 Directorio de D:\Presentaci¢nSep2010\tarjetas	" 3 archivos     44,714,944 bytes"	0.042
 Directorio de D:\CalibracionesHipotecas2014\Docs	" 2 archivos     44,215,377 bytes"	0.041
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\CONTRATOS	"10 archivos     44,156,115 bytes"	0.041
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\tdc negocio jun	" 5 archivos     44,079,548 bytes"	0.041
 Directorio de D:\TDC2014\Calibraciones BHS TSM\Resultados	" 3 archivos     43,750,395 bytes"	0.041
 Directorio de D:\Contingencia 2011\reest_disolucion	"11 archivos     43,089,458 bytes"	0.040
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\ENTREGA_CATALOGOS_BANCO	"11 archivos     42,816,902 bytes"	0.040
 Directorio de D:\Personal hga\libros\Credit Risk Management	" 8 archivos     42,379,333 bytes"	0.039
 Directorio de D:\Financiera\2010\CNBV\Layout 1	" 2 archivos     42,106,852 bytes"	0.039
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc\MAQUETA\maqueta_1	" 5 archivos     42,049,536 bytes"	0.039
 Directorio de D:\Venta Carter TDC Consumo Abr15\Bases Valuaci¢n\May15\Entrega	" 4 archivos     42,044,667 bytes"	0.039
 Directorio de D:\hipotecas\CONTEOS\anterior	" 5 archivos     41,663,130 bytes"	0.039
 Directorio de D:\Calibraciones2012\Modelo Actual\Impactos	" 1 archivos     40,812,544 bytes"	0.038
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\COMPARATIVO RAR COHOR ANT	" 8 archivos     40,456,692 bytes"	0.038
 Directorio de D:\GDrive\Nueva carpeta\Coldplay\Coldplay-Parachutes	"14 archivos     40,424,638 bytes"	0.038
 Directorio de D:\Financiera\2010\CNBV\ultima entrega	" 4 archivos     39,843,609 bytes"	0.037
 Directorio de D:\Financiera\2010\FinancieraUSBChio\BasesPD	"12 archivos     39,682,048 bytes"	0.037
 Directorio de D:\Financiera	" 9 archivos     39,472,312 bytes"	0.037
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\finanzia\ESC3_3KFACT_V2	" 4 archivos     39,467,520 bytes"	0.037
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Riesgo credito	"11 archivos     39,064,554 bytes"	0.036
 Directorio de D:\Financiera\2011\CNBV	"14 archivos     38,858,446 bytes"	0.036
 Directorio de D:\Descargas	"12 archivos     38,848,091 bytes"	0.036
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\Documentos	"26 archivos     38,607,641 bytes"	0.036
 Directorio de D:\RAR	" 4 archivos     38,436,631 bytes"	0.036
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\SEV ANALISIS ABIERTOS\PRUEBAS	" 3 archivos     38,023,680 bytes"	0.035
 Directorio de D:\RAR3\Quitas Finanzia	" 5 archivos     37,965,967 bytes"	0.035
 Directorio de D:\Financiera\DETALLE EDO CTA	"10 archivos     37,849,461 bytes"	0.035
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Semanal\Cartera_May11_May12	" 1 archivos     37,814,272 bytes"	0.035
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\GARANTIAS	"10 archivos     37,315,257 bytes"	0.035
 Directorio de D:\TDC2014\PD y Factor Reestructuras\Res£menes Globales	" 4 archivos     37,307,027 bytes"	0.035
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Incidencias\quitas_rar	" 1 archivos     37,298,688 bytes"	0.035
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc3_conkfactores	" 5 archivos     37,183,834 bytes"	0.035
 Directorio de D:\InfoTDC2012\Reestructuras\TDC Banco	"15 archivos     37,059,554 bytes"	0.035
 Directorio de D:\Bursatilizaci¢n Fovissste	" 9 archivos     37,027,073 bytes"	0.034
 Directorio de D:\Contingencia2012\Reestructuras Banco	" 3 archivos     36,685,768 bytes"	0.034
 Directorio de D:\Venta de Cartera\EntregaEspa§a	" 4 archivos     36,488,559 bytes"	0.034
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Documentos\gr†ficasdocs	" 5 archivos     36,462,080 bytes"	0.034
 Directorio de D:\Contingencia 2011\REEST CANO DISOLUCION	" 7 archivos     36,245,365 bytes"	0.034
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Carol Alexander	" 4 archivos     36,065,958 bytes"	0.034
 Directorio de D:\CMandos	"36 archivos     36,055,741 bytes"	0.034
 Directorio de D:\RAR3\Bonificaciones\Banco	" 2 archivos     35,295,744 bytes"	0.033
 Directorio de D:\Financiera\Bases SAS	" 4 archivos     34,286,119 bytes"	0.032
 Directorio de D:\Negocio2010\2009\Info	" 2 archivos     34,085,349 bytes"	0.032
 Directorio de D:\Grupo Innovaci¢n 2015\MPlus	" 6 archivos     34,072,961 bytes"	0.032
 Directorio de D:\Bancarias2012\castigos	"12 archivos     33,980,416 bytes"	0.032
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable	"15 archivos     33,552,384 bytes"	0.031
 Directorio de D:\GDrive\WinRATS	" 7 archivos     33,474,328 bytes"	0.031
 Directorio de D:\WinRATS	" 7 archivos     33,474,328 bytes"	0.031
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Documentaci¢n	"14 archivos     32,968,002 bytes"	0.031
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\COSTOS\rep_dic07	" 3 archivos     32,723,799 bytes"	0.030
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\finanzia\esc1medias_borrar	" 2 archivos     32,593,408 bytes"	0.030
 Directorio de D:\Temporal\rartdc2013	" 2 archivos     32,540,351 bytes"	0.030
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 2	" 5 archivos     32,366,202 bytes"	0.030
 Directorio de D:\Contingencia 2011\Info Finanzas\BANCO	"24 archivos     32,212,025 bytes"	0.030
 Directorio de D:\B\Consumo\Param2012\Alonso	" 3 archivos     32,122,123 bytes"	0.030
 Directorio de D:\TDC2014\Calibraciones Reactivas TSM\validaciones	" 2 archivos     31,593,595 bytes"	0.029
 Directorio de D:\respaldo maquina on M825016\Contingencia dany	"39 archivos     31,459,409 bytes"	0.029
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\BONIFICACIONES GM	" 5 archivos     31,428,096 bytes"	0.029
 Directorio de D:\RAR\Ej anterior	" 2 archivos     30,971,936 bytes"	0.029
 Directorio de D:\Venta Carter TDC Consumo Abr15\Informaci¢n\Cierre Marzo15	" 5 archivos     30,341,541 bytes"	0.028
 Directorio de D:\Programas\Foxit Reader	" 9 archivos     30,313,659 bytes"	0.028
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Resultados\cerradosok	" 9 archivos     30,118,912 bytes"	0.028
 Directorio de D:\Venta Carter TDC Consumo Abr15\Entrega	" 5 archivos     29,568,833 bytes"	0.028
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\EJERCICIO EAD 2000 final\curvas con eje ead-ant	"12 archivos     29,323,264 bytes"	0.027
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\ENTREGA_AGO\impacto_con_pesos	" 4 archivos     28,960,256 bytes"	0.027
